location,humidity,wind_speed,pressure,temperature
Bangkok,84.44222000574645,27.26528797257893,1002.6165360967876,26.00292773189049
Phuket,22.31458677894026,11.09703426189207,1007.0448578097275,37.32174359386689
Bangkok,28.17597727504698,16.57300690872794,991.4721409673857,31.58961517446179
Chiang Mai,85.09956715952592,27.750425791861844,1005.5788921448961,26.066379089753983
Phuket,53.11204387384578,8.252491355112495,1012.362282086195,32.155732059829646
Chiang Mai,71.0895136506812,23.052235591668058,1011.2531993280394,25.10685837904386
Chiang Mai,94.56836051724352,7.627441855114096,1001.1484481198904,23.49526400591349
Chiang Mai,86.46573627647784,17.68622505244079,1008.2269538822014,20.817494723064396
Khon Kaen,38.55027473675429,20.066508938193156,1005.0809692646566,30.05372947890957
Chiang Mai,53.06644953375738,4.761632662672053,997.0681691820699,28.191893492893925
Bangkok,41.717036144187446,0.730216636008032,994.1330584034605,31.722456313065322
Bangkok,26.90903923482368,17.977774131977135,1019.8896734505088,32.34695344400231
Chiang Mai,74.7674148426727,8.731773193319214,1003.1477106135816,25.509010443164374
Chiang Mai,84.07115785243379,29.53604386500327,999.679704353536,24.59115124535938
Phuket,47.81051995469687,0.4440287939577625,1018.2758303215505,31.65212781092657
Khon Kaen,47.41971888449783,18.600399716208482,998.7932814220459,29.09314352180557
Chiang Mai,75.87904664666274,8.951719775211703,990.4298201192946,20.992662826263455
Bangkok,28.299375534069043,0.054048879350184764,994.4867584585396,29.404527575340737
Phuket,88.5390650522205,28.766578585482776,998.9284658285854,28.233809598889337
Phuket,42.48197440876072,29.30818220211741,1005.5493344003469,31.169470373252153
Bangkok,41.87549445206531,6.226909782614618,1011.3856556994926,32.18340792823277
Khon Kaen,74.66281090601234,10.774575677635012,1005.643844038418,27.08988724517731
Phuket,67.69068537760123,21.28251343310625,1016.8502681380697,29.943062183150555
Phuket,38.291428316448425,28.738035382384115,1003.2406991656302,32.90330495329749
Chiang Mai,62.604759119497025,20.21989399938341,996.0284499196689,29.98357261125232
Phuket,50.68246736700011,26.28118623341997,996.0047330852248,29.272759040563066
Phuket,87.15310203361678,8.412931854052308,1004.7143334044762,27.7818631297444
Khon Kaen,30.09256508611575,27.64242133699901,1002.5429901099051,31.055051984990442
Phuket,21.658409962559105,6.731329265165018,1017.4454379203139,30.854083373472974
Chiang Mai,88.93296327630114,2.768157895030958,997.0248135925289,21.765000498622182
Chiang Mai,31.03252713186787,4.9696245377954185,1015.9110051232824,29.70049928581522
Bangkok,34.27701374742082,-25.216724818258726,1016.7015029280581,30.600492202110235
Phuket,59.803458783422805,26.140190446978757,994.5510500454259,29.730064718227904
Phuket,68.88266546623265,14.471486956055797,1012.0377696630751,29.4916654383487
Bangkok,75.20520828849943,18.80323850167564,999.7406247577785,25.002672906370652
Phuket,76.50654831062565,0.6972929320070409,999.2644931098813,31.4504467409097
Chiang Mai,33.28870355489531,24.903980777148014,997.0273624875786,25.070335389820457
Bangkok,,6.763537200624318,,24.571943011989944
Bangkok,56.65034980972629,12.798061218805387,1012.902536457911,26.626635695716907
Khon Kaen,71.92831356536098,29.523545295625464,1009.1185413647601,27.079245552884306
Khon Kaen,58.28706658333379,0.11641794866951383,991.3101629656566,29.807731979121538
Khon Kaen,83.16822266769054,28.788815050107008,1008.1896304319305,25.758324287324925
Phuket,42.50277955633425,7.204394776020746,1002.8199731854232,33.655671117235926
